"","temperature","X","environment (biome)","environment (feature)","environment (material)","environmental package","depth","salinity","Y","instrument model","collection date","project name","geographic location (depth)","sequencing method","NCBI sample classification","ENA checklist","event date/time","marine region","protocol label","sampling campaign","sampling platform","event label","last update date","sample collection device","sampling station","size fraction lower threshold","size fraction upper threshold","nitrate sensor","oxygen sensor","accession","sample-name","sample-desc","biome"
"ERS1972439","-1.0737","-149.5091","marine biome","marine water body","seawater","water","40.0","29.0736","76.5011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972439","KD109_170407","Station 54 seawater, depth 40.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972308","-0.2958","-174.21085","marine biome","marine water body","seawater","water","1242.0","34.9052","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972308","26-10_170427","Station 26 seawater, depth 1242m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972335","0.6525","-174.8173","marine biome","marine water body","seawater","water","524.0","34.8674","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972335","26-8_170506","Station 26 seawater, depth 524m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972382",NA,"-176.76143","marine biome","marine water body","sea ice","water","0.7","999.0","88.4072","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972382","KD012_170322","Station 31 sea ice, depth 0.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972401",NA,"-149.97226","marine biome","marine water body","sea ice","water","0.7","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972401","KD056_170407","Station 43 sea ice, depth 0.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972410",NA,"-149.7905","marine biome","marine water body","seawater","water","1.0","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972410","KD084_170322","Station 46 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972373","0.6628","-178.92683","marine biome","marine water body","seawater","water","229.0","34.771","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972373","30-9_170506","Station 30 seawater, depth 229m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972376",NA,"-176.76143","marine biome","marine water body","sea ice","water","0.5","999.0","88.4072","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972376","KD007_170322","Station 31 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972395",NA,"-150.0","marine biome","marine water body","sea ice","water","0.5","999.0","85.0","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972395","KD040_170407","Station 42 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972390",NA,"-89.2525","marine biome","marine water body","sea ice","water","0.1","999.0","89.99033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972390","KD021_170322","Station 33 sea ice, depth 0.1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972420",NA,"-149.7905","marine biome","marine water body","sea ice","water","0.1","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972420","KD091_170322","Station 46 sea ice, depth 0.1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972430","-0.6026","-148.8366","marine biome","marine water body","seawater","water","40.0","29.2444","77.0066","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972430","KD105_170322","Station 53 seawater, depth 40.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972323","-1.3274","-174.8173","marine biome","marine water body","seawater","water","55.0","30.2422","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972323","26-2_170506","Station 26 seawater, depth 55m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972422","-1.48","-147.8611","marine biome","marine water body","seawater","water","1.0","27.7279","78.1655","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972422","KD097_170322","Station 51 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972384",NA,"-89.2525","marine biome","marine water body","sea ice","water","0.5","999.0","89.99033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972384","KD015_170322","Station 33 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972403",NA,"-149.97226","marine biome","marine water body","sea ice","water","1.5","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972403","KD057_170407","Station 43 sea ice, depth 1.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972343","0.8959","-178.92683","marine biome","marine water body","seawater","water","376.0","34.8671","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972343","30-11_170506","Station 30 seawater, depth 376m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972441","-1.3887","-158.7448","marine biome","marine water body","seawater","water","110.0","32.4233","72.9997","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972441","KD116_170407","Station 60 seawater, depth 110.9m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972364","-1.4653","-179.99976","marine biome","marine water body","seawater","water","102.0","33.8665","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972364","30-5_170427","Station 30 seawater, depth 102m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972394",NA,"-150.0","marine biome","marine water body","sea ice","water","0.5","999.0","85.0","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972394","KD040_170322","Station 42 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972347","0.0097","-178.92683","marine biome","marine water body","seawater","water","802.0","34.8778","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972347","30-13_170506","Station 30 seawater, depth 802m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972312","-0.3881","-174.21085","marine biome","marine water body","seawater","water","2235.0","34.9523","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972312","26-12_170427","Station 26 seawater, depth 2235m","root:Environmental:Aquatic:Marine:Oceanic"
